iter	RMSE
0	0.4452142778
1	0.4441310677
2	0.4428969335
3	0.4417367123
4	0.4407428061
5	0.4397519606
6	0.4387841658
7	0.4382424902
8	0.437303864
9	0.4365361149
10	0.4357629223
11	0.4350431465
12	0.4343654265
13	0.4334246993
14	0.4325379753
15	0.4316506628
16	0.4308129002
17	0.4299322402
18	0.4290798251
19	0.4286965051
20	0.4279633653
21	0.4272088599
22	0.4266200226
23	0.42589831
24	0.4251514792
25	0.4246463597
26	0.4240754487
27	0.4234520683
28	0.4227721205
29	0.4221432897
30	0.4215887507
31	0.4209480268
32	0.420376074
33	0.4198201918
34	0.4193231632
35	0.4189924861
36	0.418777934
37	0.4183486996
38	0.4179648318
39	0.4177093382
40	0.4170980878
41	0.4165376429
42	0.4162501991
43	0.4157933286
44	0.4154062892
45	0.4152099049
46	0.4147049519
47	0.4142736291
48	0.4140054439
49	0.4137869493
50	0.4133753251
51	0.412970825
52	0.4126101569
53	0.4124463163
54	0.4121946339
55	0.4117938668
56	0.4115420331
57	0.4113562551
58	0.4110902608
59	0.4107669048
60	0.4104192606
61	0.4100136657
62	0.4098920928
63	0.4097386148
64	0.4093531431
65	0.408931024
66	0.4086693331
67	0.4085374489
68	0.4081627318
69	0.4078880803
70	0.4076925577
71	0.4074543314
72	0.4071315253
73	0.4067376892
74	0.4066507492
75	0.4063163549
76	0.4059737612
77	0.4058742012
78	0.4055523835
79	0.4054540687
80	0.4052778551
81	0.4049867927
82	0.4046093501
83	0.404343645
84	0.4040981649
85	0.4038837121
86	0.4035971
87	0.4035210538
88	0.4032406628
89	0.4030242164
90	0.4028691514
91	0.4025790177
92	0.4025084608
93	0.402257827
94	0.4021081858
95	0.4019282679
96	0.4017356961
97	0.4015923952
98	0.4014141244
99	0.4011343674
100	0.4009015884
101	0.4008212042
102	0.4006674545
103	0.4005086764
104	0.4003077426
105	0.4001377447
106	0.3999440195
107	0.3998151566
108	0.3997448882
109	0.3995936254
110	0.39935907
111	0.3991882642
112	0.3990129396
113	0.3989481449
114	0.3987274863
115	0.3984948838
116	0.3983223473
117	0.3982391844
118	0.3981605619
119	0.397976135
120	0.3977466526
121	0.3976797002
122	0.3975046702
123	0.3974920445
124	0.3973683741
125	0.3972543435
126	0.3970928006
127	0.3970686207
128	0.3969325214
129	0.3968145937
130	0.3966384484
131	0.3965159632
132	0.3964741126
133	0.3963299384
134	0.3961400303
135	0.3960985688
136	0.3959447191
137	0.3958006755
138	0.3957904183
139	0.3956960268
140	0.3955897083
141	0.3954951621
142	0.3952610768
143	0.3950754032
144	0.3949349506
145	0.3947119653
146	0.3946713884
147	0.3945640212
148	0.3944801552
149	0.3943852452
150	0.3943416051
151	0.3942482661
152	0.3941189236
153	0.3940965863
154	0.3940102119
155	0.3939199607
156	0.3938225799
157	0.3936740103
158	0.3934787522
159	0.3934402814
160	0.3933214172
161	0.3932148653
162	0.3931249702
163	0.3929971157
164	0.3928856051
165	0.3927665684
166	0.3926912176
167	0.3926228821
168	0.3925662808
169	0.39255717
170	0.3925189639
171	0.3925128304
172	0.392405776
173	0.3923598201
174	0.3923069616
175	0.3923014907
176	0.392268463
177	0.3921776263
178	0.3921725679
179	0.39207162
180	0.3920102682
181	0.3919527395
182	0.3917983188
183	0.3916467164
184	0.3915547104
185	0.3914627871
186	0.3913215854
187	0.3913040586
188	0.3912579249
189	0.3910851632
190	0.3909999216
191	0.3909605767
192	0.3909171836
193	0.3908381806
194	0.3907529631
195	0.3907112133
196	0.3905839209
197	0.3905329475
198	0.3904697232
199	0.3904271802
200	0.3903423743
201	0.3903063812
202	0.3902270234
203	0.3900848851
204	0.3900299748
205	0.3899430121
206	0.389882779
207	0.3897720106
208	0.3896675697
209	0.3895406012
210	0.3895378132
211	0.3895242667
212	0.389453297
213	0.3893817717
214	0.3892920514
215	0.3892894206
216	0.3891732918
217	0.3890364942
218	0.3890170842
219	0.3889619433
220	0.3889266915
221	0.388902667
222	0.3888257284
223	0.3887785151
224	0.388747176
225	0.3887247307
226	0.3886463619
227	0.3886009926
228	0.3885205906
229	0.3884456813
230	0.3884414244
231	0.3883791137
232	0.3883481906
233	0.388271213
234	0.3882691496
235	0.388196004
236	0.3881454637
237	0.3881220647
238	0.3880485806
239	0.3879668066
240	0.3878758053
241	0.3878603917
242	0.387795469
243	0.387780505
244	0.3876632218
245	0.3876095609
246	0.3874987073
247	0.3874635653
248	0.3874183138
249	0.3874133535
250	0.3873253121
251	0.3872600654
252	0.3872569021
253	0.3872102225
254	0.3871101731
255	0.38710927
256	0.3870304073
257	0.3870219156
258	0.386947095
259	0.3869049369
260	0.3869026686
261	0.386835113
262	0.3867081396
263	0.3866366729
264	0.3865639779
265	0.386498272
266	0.3863808552
267	0.3863709922
268	0.3863428705
269	0.3862909567
270	0.3861699476
271	0.3861379144
272	0.3861201413
273	0.3860377558
274	0.3859436855
275	0.385828206
276	0.3858228609
277	0.3857948176
278	0.3857883925
279	0.3857230054
280	0.385629827
281	0.3855999337
282	0.3854908311
283	0.3854001687
284	0.3853618667
285	0.3853013564
286	0.3852999742
287	0.3852639001
288	0.3852094929
289	0.3851936991
290	0.385104584
291	0.3850757118
292	0.385009629
293	0.3849594476
294	0.384855775
295	0.3847795036
296	0.3846934813
297	0.3846695248
298	0.3846272328
299	0.384600152
