iter	Passed	Remaining
0	0	187
1	1	207
2	1	196
3	2	186
4	2	174
5	3	169
6	3	163
7	4	158
8	4	157
9	5	158
10	6	159
11	6	155
12	7	157
13	7	156
14	8	158
15	8	157
16	9	158
17	10	158
18	10	157
19	11	155
20	11	153
21	12	152
22	12	151
23	13	150
24	13	148
25	14	147
26	14	146
27	14	145
28	15	144
29	15	143
30	16	142
31	16	141
32	17	141
33	17	140
34	18	139
35	18	138
36	19	137
37	19	136
38	20	135
39	20	134
40	21	134
41	21	132
42	21	131
43	22	130
44	22	130
45	23	128
46	23	128
47	24	126
48	24	126
49	25	125
50	25	124
51	25	123
52	26	122
53	26	121
54	27	120
55	27	120
56	28	119
57	28	118
58	28	118
59	29	117
60	29	117
61	30	116
62	30	116
63	31	115
64	31	115
65	32	114
66	32	114
67	33	113
68	33	113
69	34	113
70	34	112
71	35	112
72	35	111
73	36	110
74	36	110
75	37	109
76	37	108
77	37	107
78	38	107
79	38	106
80	39	106
81	39	106
82	40	105
83	41	105
84	41	104
85	41	104
86	42	103
87	42	103
88	43	102
89	43	102
90	44	102
91	44	101
92	45	100
93	45	100
94	46	100
95	46	99
96	47	99
97	48	98
98	48	98
99	49	98
100	49	97
101	50	97
102	50	96
103	50	95
104	51	95
105	51	95
106	52	94
107	52	94
108	53	93
109	53	92
110	54	92
111	54	91
112	55	91
113	55	91
114	56	90
115	56	90
116	57	89
117	57	89
118	58	88
119	59	88
120	59	88
121	60	87
122	60	87
123	61	86
124	61	86
125	62	85
126	62	85
127	63	84
128	63	84
129	64	83
130	64	83
131	65	82
132	65	82
133	66	82
134	66	81
135	67	81
136	67	80
137	68	80
138	68	79
139	69	78
140	69	78
141	70	77
142	70	77
143	71	77
144	71	76
145	72	76
146	72	75
147	73	75
148	73	74
149	74	74
150	74	73
151	75	73
152	75	72
153	76	72
154	76	71
155	77	71
156	77	70
157	78	70
158	78	69
159	79	69
160	79	68
161	80	68
162	80	67
163	81	67
164	81	67
165	82	66
166	83	66
167	83	65
168	84	65
169	84	64
170	85	64
171	85	63
172	85	63
173	86	62
174	86	62
175	87	61
176	87	61
177	88	60
178	88	59
179	89	59
180	89	59
181	90	58
182	90	58
183	91	57
184	91	57
185	92	56
186	92	56
187	93	55
188	93	55
189	94	54
190	95	54
191	95	53
192	96	53
193	97	53
194	97	52
195	98	52
196	98	51
197	99	51
198	100	50
199	100	50
200	101	49
201	101	49
202	102	48
203	102	48
204	103	47
205	103	47
206	104	46
207	104	46
208	105	45
209	105	45
210	105	44
211	106	44
212	106	43
213	107	43
214	107	42
215	108	42
216	108	41
217	109	41
218	109	40
219	110	40
220	110	39
221	111	39
222	111	38
223	112	38
224	112	37
225	113	37
226	114	36
227	114	36
228	115	35
229	115	35
230	116	34
231	116	34
232	117	33
233	117	33
234	117	32
235	118	32
236	118	31
237	119	31
238	119	30
239	120	30
240	121	29
241	121	29
242	122	28
243	122	28
244	123	27
245	123	27
246	124	26
247	125	26
248	125	25
249	126	25
250	126	24
251	127	24
252	127	23
253	128	23
254	129	22
255	129	22
256	130	21
257	130	21
258	131	20
259	131	20
260	132	19
261	132	19
262	133	18
263	134	18
264	134	17
265	135	17
266	135	16
267	136	16
268	136	15
269	137	15
270	137	14
271	138	14
272	138	13
273	139	13
274	139	12
275	140	12
276	140	11
277	141	11
278	141	10
279	142	10
280	142	9
281	143	9
282	144	8
283	144	8
284	145	7
285	145	7
286	146	6
287	146	6
288	147	5
289	147	5
290	148	4
291	148	4
292	149	3
293	149	3
294	150	2
295	151	2
296	151	1
297	152	1
298	152	0
299	153	0
